ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,id
300750.SZ,2018-06-11,15.718453683442743,18.86006043555278,15.718453683442743,18.86006043555278,13.097843075961238,11.06,43.99,1513.0438259999999,5461.5970374,7792830
300750.SZ,2018-06-12,20.746066479108055,20.746066479108055,20.746066479108055,20.746066479108055,18.86006043555278,3.62,10.0,510.157326,2031.4449749999999,7590281
300750.SZ,2018-06-13,22.8196311347296,22.8196311347296,22.8196311347296,22.8196311347296,20.746066479108055,3.98,10.0,864.30582,3785.6594916000004,7605164
300750.SZ,2018-06-14,25.101594248202563,25.101594248202563,25.101594248202563,25.101594248202563,22.8196311347296,4.38,10.0,1425.4807979999998,6867.966369600001,7619637
300750.SZ,2018-06-15,27.612795665312074,27.612795665312074,27.612795665312074,27.612795665312074,25.101594248202563,4.82,10.0,4923.45294,26094.300582,7631155
300750.SZ,2018-06-19,30.374075231843282,30.374075231843282,30.374075231843282,30.374075231843282,27.612795665312074,5.3,10.0,21447.913032,125041.33220880001,7650537
300750.SZ,2018-06-20,33.411482755027606,33.411482755027606,33.411482755027606,33.411482755027606,30.374075231843282,5.83,10.0,25151.472107999998,161296.38936180001,7659514
300750.SZ,2018-06-21,36.75106804209649,36.75106804209649,36.75106804209649,36.75106804209649,33.411482755027606,6.41,10.0,23640.48204,166759.9595424,7673786
300750.SZ,2018-06-22,37.51172241325414,37.881629675940395,33.078045222465356,34.67229342502865,36.75106804209649,-3.99,-5.66,2460106.477206,16506319.756227,7687878
300750.SZ,2018-06-25,35.53193706366573,37.303323955402725,35.02136084192977,36.04772324684797,34.67229342502865,2.64,3.97,1343234.488806,9344420.096373599,7703308
300750.SZ,2018-06-26,35.370428258830884,39.36125872668542,34.95884130457434,38.647494008544335,36.04772324684797,4.99,7.21,1200652.781118,8708507.4597528,7710127
300750.SZ,2018-06-27,38.663123892883185,39.03824111701574,37.391893299989576,38.60060435552777,38.647494008544335,-0.09,-0.12,847201.317228,6220858.8401568,7721907
300750.SZ,2018-06-28,38.18901740127123,39.27789934354485,35.135979993748045,35.537147025112006,38.60060435552777,-5.88,-7.94,1018836.3493140001,7236395.660256,7736409
300750.SZ,2018-06-29,35.782015213087426,38.710013545899756,35.30790872147546,37.490882567468994,35.537147025112006,3.75,5.5,877138.44855,6203421.7072842,7749675
300750.SZ,2018-07-02,36.88131707825362,37.240804418047304,36.00604355527769,36.46973012399708,37.490882567468994,-1.96,-2.72,623232.673308,4373633.1400776,7762323
300750.SZ,2018-07-03,36.57392935292279,37.08971553610503,34.30759612378868,36.09982286131083,36.46973012399708,-0.71,-1.01,650869.7684160001,4485996.6644598,7776007
300750.SZ,2018-07-04,35.505887256434306,35.505887256434306,34.1252474731687,34.34406585391268,36.09982286131083,-3.37,-4.86,504460.489218,3358795.4441537997,7790406
300750.SZ,2018-07-05,33.86474940085443,37.44920287589871,33.80222986349901,35.84974471188913,34.34406585391268,2.89,4.38,659079.4069020001,4498133.2206804,7804037
300750.SZ,2018-07-06,35.84974471188913,38.814212774825464,35.79243513597999,36.92820673127019,35.84974471188913,2.07,3.01,944602.5178380001,6739701.7083564,7818163
300750.SZ,2018-07-09,36.8865270396999,37.28769407106387,36.00604355527769,37.2772741481713,36.92820673127019,0.67,0.95,596337.9829259999,4191943.6976969996,7832165
300750.SZ,2018-07-10,39.07471084713973,39.53839741585912,37.33458372408044,37.72012087110556,37.2772741481713,0.85,1.19,700281.592794,5117203.3929366,7845174
300750.SZ,2018-07-11,36.46973012399708,41.12743565697613,36.2509117432531,40.1479629050745,37.72012087110556,4.66,6.44,942824.7311699999,7092280.4536962,7858652
300750.SZ,2018-07-12,39.61133687610712,44.16484318016046,39.387308533916844,44.16484318016046,40.1479629050745,7.71,10.01,826977.5591279999,6583893.0716958,7865852
300750.SZ,2018-07-13,42.72168385953944,46.092528915286024,42.21631759924976,43.08638116077941,44.16484318016046,-2.07,-2.44,925190.24367,7771749.266756999,7877421
300750.SZ,2018-07-16,43.08638116077941,44.154423257267894,41.73179118474523,43.711576534333645,43.08638116077941,1.2,1.45,566514.6720240001,4682840.8485432,7886719
300750.SZ,2018-07-17,43.2999895800771,43.85224549338335,41.50255288110868,42.86756278003543,43.711576534333645,-1.62,-1.93,549243.0087059999,4485325.0990296,7899508
300750.SZ,2018-07-18,42.86756278003543,43.95644472230906,41.73700114619152,42.86756278003543,42.86756278003543,0.0,0.0,520423.02576600004,4287501.5622096,7913122
300750.SZ,2018-07-19,42.72168385953944,44.36282171511931,42.028758987183494,43.18537042825883,42.86756278003543,0.61,0.74,481279.626702,4011329.0175882,7931141
300750.SZ,2018-07-20,42.9821819318537,47.504428467229346,42.72689382098572,47.374179431072214,43.18537042825883,8.04,9.6996,819500.01819,7198392.3022578005,7939539
300750.SZ,2018-07-23,46.368656871939145,47.17099093466708,45.61321246222778,46.17067833698031,47.374179431072214,-2.31,-2.5404,480125.472288,4268718.997116,7951291
300750.SZ,2018-07-24,46.10815879962488,48.43180160466812,45.58716265499635,47.81181619256017,46.17067833698031,3.15,3.5545,508660.67385,4598810.777589,7666506
300750.SZ,2018-07-25,47.410649161196204,49.536313431280604,43.02907158487027,43.02907158487027,47.81181619256017,-9.18,-10.0033,877537.165512,7731264.049702199,7683330
300750.SZ,2018-07-26,41.94018964259664,43.03428154631655,39.90830467854537,40.74189850995103,43.02907158487027,-4.39,-5.3154,754074.658806,5980460.0266698,7691915
300750.SZ,2018-07-27,40.63769928102532,40.97113681358758,39.42377826404085,39.621756798999684,40.74189850995103,-2.15,-2.7494,437807.155296,3355873.3208028,7708004
300750.SZ,2018-07-30,39.85620506408252,40.29384182557049,39.07471084713973,40.03855371470251,39.621756798999684,0.8,1.0519,346295.192124,2643519.1569066,7722918
300750.SZ,2018-07-31,40.00208398457851,40.0072939460248,36.735438157757635,37.626341565072416,40.03855371470251,-4.63,-6.0247,539894.724558,3946056.5019456,7741724
300750.SZ,2018-08-01,37.51172241325414,38.36094612899864,37.00114619151818,37.20954464936959,37.626341565072416,-0.8,-1.1077,344218.45890599996,2492739.856887,7751756
300750.SZ,2018-08-02,36.6781285818485,38.183807439824946,36.495779931228505,37.80348025424612,37.20954464936959,1.14,1.5962,381068.635626,2743005.3403157997,7763663
300750.SZ,2018-08-03,37.38668333854329,38.10565801813066,35.771595290194846,36.261331666145665,37.80348025424612,-2.96,-4.0794,331842.51319800003,2347563.3775986,7777673
300750.SZ,2018-08-06,35.94873397936855,37.032405960195895,35.219339376888605,36.287381473377096,36.261331666145665,0.05,0.0718,301479.10233,2105562.3315258003,7791935
300750.SZ,2018-08-07,36.71980827341878,38.793372929040316,36.46973012399708,38.44430551213921,36.287381473377096,4.14,5.944,383207.192718,2774564.0498562,7799657
300750.SZ,2018-08-08,38.29321663019694,38.33489632176722,37.048035844534745,37.261644263832444,38.44430551213921,-2.27,-3.0763,283511.061498,2049141.200001,7813757
300750.SZ,2018-08-09,37.199124726477024,39.41856830259456,36.626028967385636,38.584974471188914,37.261644263832444,2.54,3.5515,354606.539616,2619592.1276406,7825415
300750.SZ,2018-08-10,38.345316244659784,38.80900281337917,38.04313848077524,38.78295300614775,38.584974471188914,0.38,0.5131,224068.06884000002,1654700.4423894,7838911
300750.SZ,2018-08-13,38.03271855788267,38.65270396999062,37.527352297593,38.55892466395749,38.78295300614775,-0.43,-0.5776,210165.79705800003,1536978.791985,7856958
300750.SZ,2018-08-14,38.44951547358549,38.49640512660206,37.219964572262164,37.28769407106387,38.55892466395749,-2.44,-3.2969,225253.45189199998,1626779.3643738,7869989
300750.SZ,2018-08-15,36.98030634573304,37.527352297593,35.94873397936855,36.00604355527769,37.28769407106387,-2.46,-3.4372,247923.23577,1737397.1637456,7884628
300750.SZ,2018-08-16,35.42773783474002,36.40721058664165,34.495154735854946,35.943524017922265,36.00604355527769,-0.12,-0.1736,205669.333842,1407608.5620996,7906960
300750.SZ,2018-08-17,36.41763050953423,36.735438157757635,35.47983744920287,35.51109721788058,35.943524017922265,-0.83,-1.2031,157867.521378,1095444.2463426,7915961
300750.SZ,2018-08-20,35.365218297384594,36.00604355527769,34.38574554548296,35.922684172137124,35.51109721788058,0.79,1.159,209654.699226,1419912.9890442,7931327
300750.SZ,2018-08-21,35.93310409502969,36.87610711680733,35.43815775763259,36.24570178180681,35.922684172137124,0.62,0.8992,195948.455766,1362628.567062,7945029
300750.SZ,2018-08-22,35.97999374804626,36.59997916015421,35.01615088048348,35.1516098780869,36.24570178180681,-2.1,-3.0185,172744.406898,1185752.9453322,7960068
300750.SZ,2018-08-23,35.245389184120036,36.287381473377096,34.948421381681776,36.0008335938314,35.1516098780869,1.63,2.4159,234035.052384,1602853.1892408,7971563
300750.SZ,2018-08-24,35.328748567260604,37.094925497551316,35.27143899135147,35.84453475044285,36.0008335938314,-0.3,-0.4342,256449.728808,1788156.715947,7991414
300750.SZ,2018-08-27,35.729915598624565,36.98030634573304,35.370428258830884,36.709388350526204,35.84453475044285,1.66,2.4128,247892.275848,1729340.2327236,8000596
300750.SZ,2018-08-28,36.78753777222048,38.72043346879232,36.6781285818485,38.03792851932896,36.709388350526204,2.55,3.6191,361115.186628,2614282.7946858,8015691
300750.SZ,2018-08-29,37.82432010003126,38.29321663019694,37.41273314577472,38.04313848077524,38.03792851932896,0.01,0.0137,198347.66737799998,1439304.0327287999,8029463
300750.SZ,2018-08-30,38.13170782536209,38.5537147025112,36.27696155048452,36.46452016255079,38.04313848077524,-3.03,-4.1495,262608.641946,1879527.2730822,7741175
300750.SZ,2018-08-31,35.683025945608,36.052933208294256,33.86995936230072,34.1252474731687,36.46452016255079,-4.49,-6.4152,305207.882322,2059356.4540962002,7755622
300750.SZ,2018-09-03,33.76055017192873,33.76055017192873,31.780764822340313,32.95821610920079,34.1252474731687,-2.24,-3.4198,305391.99117,1916775.2953566,7763840
300750.SZ,2018-09-04,32.92695634052308,33.474002292383034,32.69771803688653,33.265603834531625,32.95821610920079,0.59,0.9327,154848.708252,983951.4673674,7778322
300750.SZ,2018-09-05,33.13535479837449,33.33333333333333,31.98395331874544,31.98395331874544,33.265603834531625,-2.46,-3.8528,185976.059514,1160086.0682585998,7794584
